Player Name,Age,Team,Positions,Salary,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,TOI ES,TOI PP,TOI PK,Total TOI,G,A,P,PPG,PPA,PPP,SHG,SHA,SHP,Hit,BLK,PIM,FOW,FOL,SOG,#ERROR!,VOR,Rank,Unadj VOR,FP,PlayerId,Fantasy Team,Injured GP,
Kyle Palmieri,34,NYI,RW,"$4,750,000",,,,82,73,14.57,2.58,0.99,18.14,23,23,46,6,6,12,0,1,1,70,46,25,9,13,161,-9,131,150,444,320,8475151,,73,73
Leo Carlsson,21,ANA,C,"$950,000",,,,75,67,13.98,2.77,0.61,17.37,20,27,47,5,8,13,0,1,1,17,35,14,307,404,124,-5,-226,304,154,301,8484153,,66.8,66.8
Marco Rossi,24,MIN,C,"$5,000,000",,,,82,71,15.09,2.34,0.29,17.71,19,26,45,5,7,12,0,0,0,40,41,26,413,430,124,-7,-116,247,265,331,8482079,,71,71
Pavel Zacha,28,BOS,"C,LW","$4,750,000",,,,81,69,13.54,2.75,1.73,18.03,17,29,46,4,8,12,1,0,1,70,28,17,335,252,108,2,-131,257,190,318,8478401,,69.1,69.1
Pierre-Luc Dubois,27,WSH,"C,LW","$8,500,000",,,,82,72,14.72,2.07,0.17,16.96,18,28,46,5,5,10,0,0,0,66,47,54,432,514,131,6,232,121,553,362,8479400,,72,72
Trevor Zegras,24,PHI,C,"$5,750,000",,,,76,68,14.63,2.54,0.01,17.18,16,30,46,4,8,12,0,0,0,51,32,37,113,164,122,-3,-35,209,345,287,8481533,,67.7,67.7
Vince Dunn,29,SEA,D,"$7,350,000",,,,78,68,20.17,2.57,0.22,22.95,11,36,47,2,14,16,0,0,0,29,76,41,0,0,141,-6,459,66,560,306,8478407,,68.5,68.5
Charlie McAvoy,28,BOS,D,"$9,500,000",,,,78,67,18.26,3.34,2.05,23.65,9,36,45,3,15,18,0,1,1,108,117,58,0,0,115,-2,809,21,910,326,8479325,,66.6,66.6
Elias Lindholm,31,BOS,C,"$7,750,000",,,,82,70,13.7,2.96,1.6,18.25,18,28,46,8,10,18,1,1,2,97,66,20,700,515,132,-6,140,148,520,432,8477496,,70,70
Valeri Nichushkin,30,COL,"LW,RW","$6,125,000",,,,68,59,14.45,2.88,1.5,18.83,24,20,44,8,5,13,1,0,1,69,30,12,5,4,152,7,-54,223,258,305,8477501,,58.9,58.9
Anthony Cirelli,28,TBL,C,"$6,250,000",,,,75,66,14.79,1.46,2.24,18.49,20,24,44,4,3,7,2,1,3,42,61,25,599,526,120,9,-145,262,236,374,8478519,,65.9,65.9
Brady Tkachuk,26,OTT,"C,LW","$8,205,714",,,,75,51,14.59,3.3,0.03,17.92,22,23,45,9,7,16,0,0,0,164,21,68,131,104,194,6,676,32,997,415,8480801,,51,64.9
Brandon Montour,31,SEA,D,"$7,142,857",,,,80,70,20.57,2.53,0.29,23.39,13,32,45,2,14,16,0,0,0,83,94,47,0,0,191,-6,757,27,858,373,8477986,,70.2,70.2
Connor McMichael,25,WSH,LW,"$2,100,000",,,,82,72,13.66,1.77,0.75,16.18,21,23,44,5,5,10,0,1,1,36,33,33,223,259,141,0,-32,206,288,317,8481580,,72,72
Dmitri Voronkov,25,CBJ,LW,"$4,175,000",,,,77,68,13.99,2.17,0.03,16.18,24,21,45,8,4,12,0,0,0,105,45,47,50,73,142,3,307,104,628,331,8481716,,67.6,67.6
Jackson Blake,22,CAR,RW,"$905,833",,,,80,71,12.88,2.36,0.02,15.27,22,22,44,6,6,12,0,0,0,18,30,28,6,7,151,9,-57,226,256,296,8482809,,71.2,71.2
Teuvo Teravainen,31,CHI,"LW,RW","$5,400,000",,,,81,71,12.96,2.37,1.55,16.88,13,31,44,4,11,15,1,1,2,23,27,11,34,46,98,-1,-294,346,18,233,8476882,,71.1,71.1
Alexis Lafreniere,24,NYR,"LW,RW","$7,450,000",,,,82,71,15.25,2,0.01,17.26,19,24,43,3,5,8,0,0,0,109,29,29,6,28,149,-10,50,180,363,296,8482109,,71,71
Anders Lee,35,NYI,LW,"$7,000,000",,,,81,72,13.67,2.09,0.01,15.78,26,17,43,6,3,9,0,0,0,105,50,34,32,21,178,6,238,119,559,355,8475314,,72.1,72.1
Chandler Stephenson,31,SEA,C,"$6,250,000",,,,75,66,15.48,2.51,1.77,19.75,11,32,43,3,9,12,1,1,2,25,48,15,627,606,75,-11,-375,395,6,303,8476905,,65.9,65.9
Chris Kreider,34,ANA,LW,"$6,500,000",,,,76,68,12.33,2.94,1.49,16.76,26,18,44,10,6,16,2,1,3,79,24,18,18,26,154,-4,37,182,358,311,8475184,,72,67.7
Dawson Mercer,24,NJD,"C,RW","$4,000,000",,,,82,72,14.1,1.86,1.91,17.86,22,22,44,6,5,11,1,0,1,37,53,18,115,150,126,5,-93,237,220,293,8482110,,72,72
Jamie Benn,36,DAL,"C,LW","$1,000,000",,,,78,65,12.01,2.16,0.72,14.89,16,28,44,4,9,13,0,1,1,86,36,31,255,191,107,1,11,191,332,313,8473994,,65,68.5
Joel Eriksson Ek,29,MIN,C,"$5,250,000",,,,74,64,14.06,3.3,1.89,19.26,20,23,43,9,8,17,1,0,1,106,48,33,643,623,177,-2,250,116,630,446,8478493,,64.1,64.1
Logan Stankoven,22,CAR,"C,RW","$814,167",,,,77,69,13.82,1.89,0.02,15.74,19,25,44,4,6,10,0,0,0,38,33,14,261,317,161,8,-129,255,183,331,8482702,,68.5,68.5
Moritz Seider,24,DET,D,"$8,550,000",,,,82,72,19.65,2.97,2.05,24.67,8,36,44,2,18,20,0,1,1,172,153,36,0,0,141,-2,946,10,1046,368,8481542,,72,72
Thomas Harley,24,DAL,D,"$4,000,000",,,,78,68,19.26,2.09,1.5,22.85,12,31,43,1,11,12,0,1,1,36,124,21,0,0,131,12,334,96,435,306,8481581,,68.5,68.5
Boone Jenner,32,CBJ,"C,LW","$3,750,000",,,,76,67,14.26,1.86,1.42,17.53,21,21,42,5,3,8,1,0,1,137,61,30,303,247,155,-4,210,127,531,377,8476432,,66.7,66.7
Brayden Schenn,34,STL,C,"$6,500,000",,,,82,72,14.95,1.81,0.5,17.25,16,25,41,3,5,8,0,0,0,190,44,46,544,468,114,-8,207,129,587,384,8475170,,72,72
Casey Mittelstadt,27,BOS,C,"$5,750,000",,,,81,69,13.78,2.19,0.05,16.01,14,28,42,3,8,11,0,0,0,17,26,14,340,324,88,-6,-456,451,-76,262,8479999,,69.1,69.1
Frank Nazar,22,CHI,C,"$950,000",,,,78,68,13.98,1.73,1.19,16.9,20,21,41,3,5,8,1,1,2,46,52,26,320,376,124,-6,-180,279,200,308,8483493,,68.5,68.5
Ivan Barbashev,30,VGK,LW,"$5,000,000",,,,77,68,15.01,1.02,0.06,16.09,18,24,42,2,2,4,0,0,0,121,32,17,9,24,99,13,-198,289,122,254,8477964,,67.6,67.6
Jake DeBrusk,29,VAN,"LW,RW","$5,500,000",,,,80,69,12.89,2.73,0.61,16.22,22,21,43,9,7,16,0,1,1,76,37,14,8,12,155,1,22,186,334,310,8478498,,69.3,69.3
Jake Neighbours,23,STL,"LW,RW","$3,750,000",,,,82,51,13.3,2.08,0.17,15.55,17,13,30,4,4,8,0,0,0,108,32,23,6,5,78,-6,-349,380,-37,206,8482089,,51,72
Jake Sanderson,23,OTT,D,"$8,050,000",,,,77,67,17.41,3.37,2.84,23.62,9,33,42,4,17,21,0,1,1,29,122,11,0,0,139,-3,348,90,449,304,8482105,,66.7,66.7
Mason Marchment,30,SEA,LW,"$4,500,000",,,,77,68,13.72,1.77,0.01,15.5,19,23,42,5,5,10,0,0,0,88,28,48,17,34,131,2,115,156,436,292,8478975,,67.6,67.6
Ryan Donato,29,CHI,"C,LW,RW","$4,000,000",,,,79,69,13.63,1.76,0.09,15.49,22,20,42,3,5,8,0,0,0,82,19,37,113,138,145,-5,13,190,325,305,8477987,,69.4,69.4
Aliaksei Protas,25,WSH,"LW,RW","$3,375,000",,,,76,67,14.56,0.68,1.4,16.64,19,23,42,1,2,3,1,1,2,26,37,12,26,34,124,7,-362,389,-49,252,8481656,,66.7,66.7
Owen Tippett,26,PHI,"LW,RW","$6,200,000",,,,78,69,14.22,2.08,0.11,16.41,23,19,42,4,4,8,0,0,0,115,50,15,4,6,186,4,99,163,411,343,8480015,,69.4,69.4
Sam Bennett,29,FLA,C,"$8,000,000",,,,73,63,14.38,2.52,0.19,17.09,19,22,41,6,7,13,0,0,0,134,36,55,389,426,166,0,329,98,709,396,8477935,,63.2,63.2
Shane Pinto,25,OTT,C,"$3,750,000",,,,75,65,14.05,1.65,1.77,17.47,24,17,41,3,3,6,1,1,2,52,51,22,395,340,139,5,-182,280,199,351,8481596,,64.9,64.9
Shane Wright,22,SEA,C,"$886,666",,,,79,69,12.82,1.96,0.02,14.8,19,22,41,7,6,13,0,0,0,53,55,14,295,411,99,-3,-241,310,139,280,8483524,,69.4,69.4
Blake Coleman,34,CGY,"C,LW,RW","$4,900,000",,,,82,71,13.81,1.23,2.05,17.08,20,19,39,3,2,5,2,1,3,146,52,36,33,34,161,3,180,138,492,331,8476399,,71,71
Jaden Schwartz,33,SEA,"C,LW","$5,500,000",,,,80,70,15.25,2.11,0.06,17.42,21,20,41,6,3,9,0,0,0,82,41,22,45,34,142,-6,-56,224,265,295,8475768,,70.2,70.2
MacKenzie Weegar,32,CGY,D,"$6,250,000",,,,78,68,18.77,2.97,1.99,23.73,8,32,40,2,14,16,0,1,1,171,135,44,0,0,144,-8,843,19,943,352,8477346,,67.5,67.5
Morgan Rielly,31,TOR,D,"$7,500,000",,,,80,69,19.18,2.12,0.28,21.58,7,33,40,1,12,13,0,0,0,37,98,18,0,0,125,-4,171,140,271,271,8476853,,69.3,69.3
Tyler Bertuzzi,30,CHI,"LW,RW","$5,500,000",,,,80,70,13.67,2.4,0,16.07,19,20,39,7,5,12,0,0,0,68,28,32,68,44,126,-11,-71,230,241,277,8477479,,70.2,70.2
Tyson Foerster,24,PHI,"LW,RW","$3,750,000",,,,80,71,14.13,2.15,0.92,17.2,21,20,41,5,4,9,0,1,1,66,44,33,0,1,130,8,-12,201,300,286,8482159,,71.2,71.2
Andrei Kuzmenko,29,LAK,"LW,RW","$4,300,000",,,,70,61,12.98,2.73,0,15.71,16,23,39,6,7,13,0,0,0,38,18,10,0,0,87,2,-415,423,-103,211,8483808,,60.6,60.6
Arseny Gritsyuk,24,NJD,RW,"$925,000",,,,76,67,13.06,1.62,0.41,15.09,18,21,39,5,4,9,0,0,0,99,33,14,4,5,161,1,-98,240,214,298,8481721,,66.7,66.7
Devon Toews,31,COL,D,"$7,250,000",,,,76,66,20.1,1.14,2.52,23.76,7,32,39,1,5,6,0,1,1,31,90,14,0,0,115,25,-27,205,73,259,8478038,,65.8,65.8
Dylan Holloway,24,STL,"C,LW","$2,290,457",,,,77,68,15.01,1.84,0.19,17.04,17,22,39,4,5,9,0,0,0,166,41,29,33,42,137,0,114,157,435,306,8482077,,67.6,67.6
Filip Hronek,28,VAN,D,"$7,250,000",,,,80,69,19.72,1.66,2.3,23.68,7,32,39,2,8,10,0,0,0,110,87,36,0,0,102,5,319,101,419,271,8479425,,69.3,69.3
Frank Vatrano,31,ANA,"C,LW","$4,571,189",,,,80,71,12.97,2.21,0.9,16.08,19,20,39,5,6,11,1,0,1,168,57,48,26,17,182,-17,447,69,767,360,8478366,,71.2,71.2
Jack Quinn,24,BUF,RW,"$3,375,000",,,,76,67,12.8,2.12,0.36,15.28,17,23,40,5,7,12,0,0,0,35,25,15,1,4,122,-6,-279,334,33,245,8482097,,66.7,66.7
Jason Zucker,34,BUF,LW,"$4,750,000",,,,74,65,12.17,2.68,0.01,14.86,17,21,38,7,9,16,0,0,0,82,18,39,33,62,129,-6,10,192,331,275,8475722,,65,65
Jimmy Snuggerud,21,STL,RW,"$950,000",,,,76,67,12.76,2.42,0.41,15.6,18,21,39,5,7,12,0,0,0,51,38,24,4,0,147,0,-94,239,218,284,8483516,,66.7,66.7
Jiri Kulich,21,BUF,C,"$886,667",,,,78,68,14.24,1.58,0.04,15.86,22,18,40,3,3,6,0,0,0,46,48,16,306,434,151,-4,-245,313,135,315,8483468,,68.5,68.5
Oliver Bjorkstrand,30,TBL,RW,"$5,400,000",,,,78,68,12.24,2.34,0,14.58,14,24,38,5,8,13,0,0,0,54,24,11,15,9,120,-2,-306,353,6,244,8477416,,68.5,68.5
William Karlsson,33,VGK,C,"$5,900,000",,,,78,68,13.65,1.4,1.47,16.52,16,24,40,2,5,7,1,1,2,23,48,13,475,357,140,6,-346,376,34,349,8476448,,68.5,68.5
Anton Lundell,24,FLA,C,"$5,000,000",,,,78,68,13.72,1.72,1.76,17.21,16,23,39,3,6,9,1,1,2,71,45,26,496,435,143,2,-140,261,241,365,8482113,,67.5,67.5
Barrett Hayton,25,UTA,C,"$2,650,000",,,,81,70,13.7,2.07,0.8,16.57,17,20,37,5,4,9,0,1,1,28,37,35,451,387,128,5,-242,312,138,333,8480849,,70.1,70.1
Charlie Coyle,33,CBJ,"C,RW","$5,250,000",,,,82,72,13.03,1.68,2.15,16.86,15,23,38,2,4,6,1,1,2,104,53,21,476,426,105,-5,-160,268,152,325,8475745,,72,72
Cole Perfetti,24,WPG,"C,LW,RW","$3,250,000",,,,80,64,13.56,1.87,0,15.43,16,23,39,4,6,10,0,0,0,51,32,15,19,37,119,6,-277,332,36,250,8482149,,64,70.2
Drew Doughty,36,LAK,D,"$11,000,000",,,,76,66,20.22,2.41,1.8,24.43,7,30,37,2,12,14,0,1,1,58,99,31,0,0,93,10,214,125,315,256,8474563,,65.8,65.8
Marco Kasper,21,DET,"C,LW","$886,667",,,,78,68,14.05,1.29,0.6,15.94,19,20,39,3,3,6,1,0,1,168,45,29,322,318,124,-2,69,174,390,338,8483464,,68.5,68.5
Matias Maccelli,25,TOR,LW,"$3,425,000",,,,78,68,12.74,1.52,0.04,14.3,14,25,39,2,7,9,0,0,0,11,17,10,11,3,95,-3,-524,487,-203,204,8481711,,67.5,67.5
Matt Coronato,23,CGY,RW,"$6,500,000",,,,74,64,13.95,2.82,0.02,16.8,17,21,38,5,9,14,0,0,0,20,26,19,27,64,141,-12,-238,309,75,256,8482679,,64.1,64.1
Alex Killorn,36,ANA,"C,LW,RW","$6,250,000",,,,80,71,13.03,1.91,1.72,16.66,17,21,38,2,4,6,1,0,1,62,26,29,46,57,118,0,-232,308,81,253,8473986,,71.2,71.2
Bobby Brink,24,PHI,RW,"$1,500,000",,,,77,69,13.53,2.1,0.02,15.64,16,22,38,3,4,7,0,0,0,74,29,16,6,36,102,5,-324,363,-11,231,8481553,,68.5,68.5
Brent Burns,40,COL,D,"$1,000,000",,,,82,71,16.74,1.72,2.33,20.79,7,29,36,2,9,11,0,1,1,18,84,28,0,0,155,10,145,147,245,289,8470613,,71,71
Cam Fowler,34,STL,D,"$6,500,000",,,,78,68,18.84,1.93,1.53,22.29,6,32,38,2,10,12,0,0,0,12,80,15,0,0,88,-1,-87,234,13,218,8475764,,68.5,68.5
Evander Kane,34,VAN,LW,"$5,125,000",,,,76,66,15.14,1.34,0.32,16.8,18,20,38,2,4,6,0,0,0,192,30,55,24,42,173,-2,362,88,682,345,8475169,,65.8,65.8
Mike Matheson,31,MTL,D,"$4,875,000",,,,78,68,20.3,1.8,3.26,25.36,9,29,38,1,8,9,0,1,1,60,139,45,0,0,127,-2,480,61,580,302,8476875,,67.5,67.5
Morgan Frost,26,CGY,C,"$4,375,000",,,,80,69,12.27,2.89,0.02,15.19,13,24,37,3,9,12,0,0,0,52,45,20,412,408,110,-2,-298,350,83,303,8480028,,69.3,69.3
Ryan Leonard,21,WSH,RW,"$950,000",,,,76,67,12.61,1.67,0.4,14.68,18,20,38,4,5,9,0,0,0,121,27,44,13,8,151,4,123,153,435,308,8484186,,66.7,66.7
Ryan McLeod,26,BUF,C,"$5,000,000",,,,78,68,13.62,0.79,2.29,16.7,14,23,37,1,2,3,1,2,3,24,35,13,498,546,89,-3,-602,544,-221,267,8480802,,68.5,68.5
Sean Couturier,33,PHI,C,"$7,750,000",,,,74,66,15.07,1.64,0.91,17.62,13,25,38,2,3,5,0,1,1,58,39,28,581,472,129,5,-278,333,102,356,8476461,,65.9,65.9
Seth Jones,31,FLA,D,"$9,500,000",,,,76,66,18.48,2.93,2.2,23.62,8,30,38,3,14,17,0,0,0,90,102,23,0,0,126,-19,358,89,458,283,8477495,,65.8,65.8
Trevor Moore,30,LAK,"LW,RW","$4,200,000",,,,75,65,13.54,1.15,1.79,16.48,18,19,37,2,2,4,2,0,2,52,35,14,9,9,147,6,-315,358,-2,268,8479675,,64.9,64.9
Vladimir Tarasenko,34,MIN,"LW,RW","$4,750,000",,,,80,69,12.26,2.17,0.03,14.45,13,24,37,3,8,11,0,0,0,49,32,6,0,1,109,-10,-400,414,-87,221,8475765,,69.3,69.3
Warren Foegele,29,LAK,"LW,RW","$3,500,000",,,,82,68,13.18,0.68,1.37,15.23,17,17,34,2,1,3,1,0,1,76,31,25,24,34,144,9,-262,324,50,269,8477998,,68,71
Zach Benson,20,BUF,LW,"$950,000",,,,75,66,13.96,1.75,0.83,16.55,15,22,37,3,4,7,0,1,1,34,32,40,6,11,120,2,-198,287,123,248,8484145,,65.9,65.9
Alexander Nikishin,24,CAR,D,"$925,000",,,,78,69,17.69,1.67,0.63,19.99,9,27,36,2,10,12,0,0,0,162,120,40,0,0,131,7,608,48,709,325,8482100,,69.4,69.4
Anthony Mantha,31,PIT,RW,"$2,500,000",,,,78,68,12.6,1.74,0.01,14.35,17,20,37,3,4,7,0,0,0,57,34,23,10,28,107,5,-290,341,23,237,8477511,,67.5,67.5
Luke Hughes,22,NJD,D,$1,,,,74,65,18.2,1.91,0.39,20.5,7,29,36,1,11,12,0,0,0,24,51,26,0,0,111,-3,-44,215,57,231,8482684,,65,65
Michael Bunting,30,NSH,LW,"$4,500,000",,,,76,66,12.98,2.12,0,15.09,17,18,35,6,6,12,0,0,0,48,21,40,13,24,120,-7,-161,269,160,248,8478047,,65.8,65.8
Ryan Strome,32,ANA,C,"$5,000,000",,,,80,71,13.84,2.32,0.14,16.3,12,24,36,2,6,8,0,0,0,45,27,51,366,509,110,-10,-200,290,181,276,8476458,,72,71.2
Taylor Hall,34,CAR,LW,"$3,166,667",,,,76,68,12.64,1.88,0.03,14.55,16,21,37,4,4,8,0,0,0,44,36,28,21,28,118,-1,-246,315,75,248,8475791,,67.7,67.7
Thomas Chabot,29,OTT,D,"$8,000,000",,,,78,68,18.86,2.11,1.48,22.45,9,28,37,2,9,11,0,0,0,43,120,28,0,0,134,7,282,111,383,293,8478469,,67.5,67.5
Alex Newhook,25,MTL,C,"$2,900,000",,,,82,71,13.29,1.52,0.44,15.26,17,18,35,2,3,5,0,0,0,82,31,19,187,253,99,-3,-422,429,-41,244,8481618,,71,71
Brady Skjei,31,NSH,D,"$7,000,000",,,,81,70,17.65,1.53,2.48,21.67,9,26,35,2,7,9,0,1,1,49,73,30,0,0,127,-12,93,164,193,255,8476869,,70.1,70.1
Connor Zary,24,CGY,"C,LW,RW","$3,775,000",,,,75,65,12.84,2.2,0,15.04,15,19,34,3,7,10,0,0,0,34,30,19,130,175,110,-4,-386,402,-73,237,8482074,,64.9,64.9
Filip Chytil,26,VAN,C,"$4,437,500",,,,70,61,13.87,1.46,0.02,15.36,19,17,36,2,4,6,0,0,0,26,24,22,306,351,143,0,-402,415,-21,296,8480078,,65,60.6
Jack Roslovic,29,EDM,"C,RW","$3,000,000",,,,79,68,13.32,1.2,0.25,14.77,14,20,34,2,3,5,0,0,0,23,26,9,108,107,118,0,-550,511,-237,231,8478458,,68.4,68.4
Jani Nyman,21,SEA,RW,"$891,666",,,,72,63,11.73,2.21,0.4,14.33,18,17,35,8,6,14,0,0,0,82,30,19,8,0,107,0,-216,299,96,245,8483497,,63.2,63.2
Josh Doan,23,BUF,RW,"$925,000",,,,76,67,12.34,1.77,0.04,14.15,16,20,36,6,4,10,0,0,0,64,19,12,30,33,129,3,-337,370,-25,252,8482659,,66.7,66.7
Mackie Samoskevich,23,FLA,RW,"$775,000",,,,72,62,11.82,2.01,0.03,13.86,18,18,36,7,6,13,0,0,0,120,29,13,0,0,129,0,-138,260,174,270,8482713,,62.3,62.3
Noah Cates,26,PHI,C,"$4,000,000",,,,78,69,13.01,1.27,1.69,15.97,17,19,36,3,3,6,1,0,1,68,50,9,424,478,101,6,-436,440,-56,290,8480220,,69.4,69.4
Noah Hanifin,29,VGK,D,"$7,350,000",,,,80,70,19.52,1.42,1.29,22.23,8,27,35,2,7,9,0,0,0,45,96,17,0,0,128,8,54,179,155,266,8478396,,70.2,70.2
Phillip Danault,32,LAK,C,"$5,500,000",,,,79,68,14.13,1.39,1.9,17.42,11,25,36,2,5,7,0,1,1,67,53,19,532,475,106,7,-348,377,33,324,8476479,,68.4,68.4
Pius Suter,29,STL,"C,LW","$4,125,000",,,,77,68,13.07,1.48,1.96,16.51,19,17,36,2,4,6,1,0,1,51,34,15,296,374,107,8,-394,411,-73,269,8480459,,67.6,67.6
Yegor Sharangovich,27,CGY,"C,LW,RW","$5,750,000",,,,76,66,13.2,2.07,0.92,16.19,16,19,35,4,6,10,1,0,1,19,34,8,68,85,116,-11,-457,454,-145,228,8481068,,65.8,65.8
Aaron Ekblad,29,FLA,D,"$6,100,000",,,,70,61,17.81,2.67,2.59,23.07,7,28,35,3,11,14,0,1,1,78,78,48,0,0,119,6,348,91,449,279,8477932,,60.6,60.6
Bowen Byram,24,BUF,D,"$6,250,000",,,,80,70,19.54,1.25,1.62,22.4,9,26,35,1,5,6,0,1,1,65,100,39,0,0,85,-6,146,146,246,236,8481524,,70.2,70.2
Gustav Nyquist,36,WPG,"LW,RW","$3,250,000",,,,78,68,12.79,1.82,0.97,15.58,11,24,35,2,6,8,1,0,1,38,31,11,27,27,91,-4,-503,478,-191,202,8474679,,68.5,68.5
Jackson LaCombe,25,ANA,D,"$925,000",,,,76,68,18.13,2.27,2.31,22.71,8,26,34,2,9,11,0,1,1,60,123,23,0,0,109,-9,183,136,284,259,8481605,,67.7,67.7
John Klingberg,33,SJS,D,"$4,000,000",,,,74,65,16.5,3.06,0.05,19.61,7,27,34,2,13,15,0,0,0,36,78,30,0,0,105,-7,91,165,192,239,8475906,,65,65
Jonathan Toews,37,WPG,C,"$2,000,000",,,,72,63,13.68,2.48,0.93,17.09,15,18,33,8,4,12,0,0,0,11,33,37,600,350,86,-14,-394,410,-13,316,8473604,,63.2,63.2
Kirby Dach,25,MTL,"C,RW","$3,362,500",,,,80,69,12.93,2.49,0.09,15.51,14,19,33,4,9,13,0,0,0,100,47,33,153,231,101,-10,-90,236,223,257,8481523,,69.3,69.3
Ridly Greig,23,OTT,"C,RW","$3,250,000",,,,77,67,13.12,1.92,1.67,16.7,14,19,33,4,5,9,1,1,2,107,45,44,192,163,108,0,-34,208,278,287,8482092,,66.7,66.7
Simon Holmstrom,24,NYI,RW,"$3,625,000",,,,78,69,12.37,1.48,1.48,15.33,15,19,34,2,4,6,1,2,3,20,50,10,7,7,83,-6,-535,497,-222,194,8481601,,69.4,69.4
Travis Sanheim,29,PHI,D,"$6,250,000",,,,82,73,21.25,0.89,2.58,24.72,9,26,35,1,3,4,1,1,2,71,149,35,0,0,120,8,328,99,429,291,8477948,,73,73
Viktor Arvidsson,32,BOS,"LW,RW","$4,000,000",,,,78,67,12.82,1.44,0.14,14.41,15,20,35,3,5,8,0,0,0,40,35,24,16,22,148,2,-247,316,65,267,8478042,,66.6,66.6
Will Cuylle,23,NYR,"LW,RW","$3,900,000",,,,81,70,14.38,0.82,0.82,16.02,18,16,34,2,2,4,1,0,1,260,43,44,18,14,137,-3,297,108,609,320,8482157,,70.1,70.1
Yegor Chinakhov,24,CBJ,"LW,RW","$2,100,000",,,,70,61,12.65,1.8,0.15,14.59,17,17,34,3,4,7,0,0,0,74,26,10,0,2,122,-2,-393,408,-80,236,8482475,,61.5,61.5
Zeev Buium,20,MIN,D,"$966,500",,,,78,68,16.67,3.1,0.4,20.18,8,27,35,3,12,15,0,0,0,45,74,33,0,0,112,-5,154,145,255,252,8484798,,67.5,67.5
Andre Burakovsky,30,CHI,LW,"$5,500,000",,,,76,67,13.64,1.66,0,15.3,12,21,33,3,7,10,0,0,0,34,22,17,1,11,101,-8,-479,460,-159,202,8477444,,66.7,66.7
Beckett Sennecke,20,ANA,RW,"$875,000",,,,74,66,14.19,0.71,0.42,15.31,15,18,33,2,2,4,0,0,0,91,40,23,0,0,107,-5,-310,355,3,230,8484762,,65.9,65.9
J.T. Compher,30,DET,C,"$5,100,000",,,,77,68,13.61,1.53,1.78,16.92,12,20,32,3,3,6,0,1,1,27,56,19,431,430,82,-3,-543,503,-163,259,8477456,,67.6,67.6
Jake Walman,29,EDM,D,"$3,400,000",,,,72,62,17.97,2.05,2.35,22.37,10,22,32,2,8,10,0,1,1,50,137,33,0,0,138,-4,310,103,411,292,8478013,,62.3,62.3
Joel Farabee,25,CGY,"LW,RW","$5,000,000",,,,80,69,12.91,1.98,0.79,15.68,14,18,32,1,4,5,0,0,0,90,45,23,18,41,124,-3,-264,327,48,247,8480797,,69.3,69.3
Justin Faulk,33,STL,D,"$6,500,000",,,,76,67,19.18,2.03,1.46,22.67,6,27,33,2,8,10,0,0,0,72,108,29,0,0,115,-1,186,135,287,263,8475753,,66.7,66.7
Luke Evangelista,23,NSH,RW,$1,,,,76,66,12.38,1.65,0,14.03,13,21,34,2,5,7,0,0,0,22,20,16,0,1,122,2,-484,462,-172,222,8482146,,65.8,65.8
Mattias Ekholm,35,EDM,D,"$6,250,000",,,,74,64,18.6,0.88,1.98,21.47,8,25,33,1,4,5,0,1,1,49,97,28,0,0,129,12,69,175,169,267,8475218,,64.1,64.1
Ross Colton,29,COL,"C,LW","$4,000,000",,,,78,68,11.93,1.4,0.07,13.4,17,17,34,4,3,7,0,0,0,160,41,27,74,74,126,2,-40,214,281,289,8479525,,67.5,67.5
Sam Rinzel,21,CHI,D,"$941,667",,,,76,67,17.62,2.58,0.6,20.8,7,26,33,1,9,10,0,0,0,88,76,36,0,0,131,-7,213,126,313,270,8483506,,66.7,66.7
Stefan Noesen,32,NJD,"LW,RW","$2,750,000",,,,72,63,11.9,1.98,0.34,14.21,15,17,32,7,5,12,0,0,0,116,21,25,34,38,110,3,-204,293,108,249,8476474,,63.2,63.2
Thomas Novak,28,PIT,C,"$3,500,000",,,,72,62,11.51,1.38,0.01,12.9,13,19,32,3,4,7,0,0,0,13,29,7,93,124,89,1,-715,607,-335,195,8478438,,62.3,62.3
Tony DeAngelo,30,NYI,D,"$1,750,000",,,,70,62,17.7,2.78,0.34,20.83,7,27,34,2,11,13,0,0,0,31,68,24,0,0,118,-13,6,194,106,237,8477950,,62.3,62.3
Alex Laferriere,24,LAK,RW,"$4,100,000",,,,76,66,13.84,1.47,0.33,15.64,16,16,32,3,3,6,0,0,0,131,34,25,83,127,145,2,-133,258,179,286,8482155,,65.8,65.8
Emmitt Finnie,20,DET,"C,LW","$875,000",,,,74,65,13.58,0.61,0.57,14.76,16,17,33,1,2,3,0,0,0,123,37,22,4,9,106,3,-282,335,39,239,8484471,,65,65
Evan Rodrigues,32,FLA,"C,LW,RW","$3,000,000",,,,82,71,13.59,1.57,0.17,15.32,14,19,33,4,4,8,0,0,0,89,31,27,196,240,141,8,-186,282,126,294,8478542,,71,71
Fabian Zetterlund,26,OTT,"LW,RW","$4,275,000",,,,82,71,13.7,1.79,0.16,15.65,15,16,31,4,5,9,0,0,0,132,55,19,16,10,144,-13,-94,238,219,279,8480188,,71,71
